Date,Value
10/1/1959,4.53
11/1/1959,4.53
12/1/1959,4.69
1/1/1960,4.72
2/1/1960,4.49
3/1/1960,4.25
4/1/1960,4.28
5/1/1960,4.35
6/1/1960,4.15
7/1/1960,3.9
8/1/1960,3.8
9/1/1960,3.8
10/1/1960,3.89
11/1/1960,3.93
12/1/1960,3.84
1/1/1961,3.84
2/1/1961,3.78
3/1/1961,3.74
4/1/1961,3.78
5/1/1961,3.71
6/1/1961,3.88
7/1/1961,3.92
8/1/1961,4.04
9/1/1961,3.98
10/1/1961,3.92
11/1/1961,3.94
12/1/1961,4.06
1/1/1962,4.08
2/1/1962,4.04
3/1/1962,3.93
4/1/1962,3.84
5/1/1962,3.87
6/1/1962,3.91
7/1/1962,4.01
8/1/1962,3.98
9/1/1962,3.98
10/1/1962,3.93
11/1/1962,3.92
12/1/1962,3.86
1/1/1963,3.83
2/1/1963,3.92
3/1/1963,3.93
4/1/1963,3.97
5/1/1963,3.93
6/1/1963,3.99
7/1/1963,4.02
8/1/1963,4
9/1/1963,4.08
10/1/1963,4.11
11/1/1963,4.12
12/1/1963,4.13
1/1/1964,4.17
2/1/1964,4.15
3/1/1964,4.22
4/1/1964,4.23
5/1/1964,4.2
6/1/1964,4.17
7/1/1964,4.19
8/1/1964,4.19
9/1/1964,4.2
10/1/1964,4.19
11/1/1964,4.15
12/1/1964,4.18
1/1/1965,4.19
2/1/1965,4.21
3/1/1965,4.21
4/1/1965,4.2
5/1/1965,4.21
6/1/1965,4.21
7/1/1965,4.2
8/1/1965,4.25
9/1/1965,4.29
10/1/1965,4.35
11/1/1965,4.45
12/1/1965,4.62
1/1/1966,4.61
2/1/1966,4.83
3/1/1966,4.87
4/1/1966,4.75
5/1/1966,4.78
6/1/1966,4.81
7/1/1966,5.02
8/1/1966,5.22
9/1/1966,5.18
10/1/1966,5.01
11/1/1966,5.16
12/1/1966,4.84
1/1/1967,4.58
2/1/1967,4.63
3/1/1967,4.54
4/1/1967,4.59
5/1/1967,4.85
6/1/1967,5.02
7/1/1967,5.16
8/1/1967,5.28
9/1/1967,5.3
10/1/1967,5.48
11/1/1967,5.75
12/1/1967,5.7
1/1/1968,5.53
2/1/1968,5.56
3/1/1968,5.74
4/1/1968,5.64
5/1/1968,5.87
6/1/1968,5.72
7/1/1968,5.5
8/1/1968,5.42
9/1/1968,5.46
10/1/1968,5.58
11/1/1968,5.7
12/1/1968,6.03
1/1/1969,6.04
2/1/1969,6.19
3/1/1969,6.3
4/1/1969,6.17
5/1/1969,6.32
6/1/1969,6.57
7/1/1969,6.72
8/1/1969,6.69
9/1/1969,7.16
10/1/1969,7.1
11/1/1969,7.14
12/1/1969,7.65
1/1/1970,7.79
2/1/1970,7.24
3/1/1970,7.07
4/1/1970,7.39
5/1/1970,7.91
6/1/1970,7.84
7/1/1970,7.46
8/1/1970,7.53
9/1/1970,7.39
10/1/1970,7.33
11/1/1970,6.84
12/1/1970,6.39
